TH	SFDR	SCNPV	IFDR	ICNPV
0.252	0.157	0.243	0.157	0.243
0.253	0.157	0.243	0.157	0.243
0.254	0.157	0.243	0.157	0.243
0.255	0.155	0.243	0.155	0.243
0.256	0.155	0.243	0.155	0.243
0.257	0.155	0.243	0.155	0.243
0.258	0.155	0.243	0.155	0.243
0.259	0.155	0.243	0.155	0.243
0.260	0.153	0.244	0.153	0.244
0.261	0.153	0.244	0.153	0.244
0.262	0.153	0.244	0.153	0.244
0.263	0.153	0.244	0.153	0.244
0.264	0.153	0.244	0.153	0.244
0.265	0.150	0.244	0.150	0.244
0.266	0.150	0.244	0.150	0.244
0.267	0.150	0.244	0.150	0.244
0.268	0.150	0.244	0.150	0.244
0.269	0.150	0.244	0.150	0.244
0.270	0.147	0.244	0.147	0.244
0.271	0.147	0.244	0.147	0.244
0.272	0.147	0.244	0.147	0.244
0.273	0.147	0.244	0.147	0.244
0.274	0.147	0.244	0.147	0.244
0.275	0.145	0.244	0.145	0.244
0.276	0.145	0.244	0.145	0.244
0.277	0.145	0.244	0.145	0.244
0.278	0.145	0.244	0.145	0.244
0.279	0.145	0.244	0.145	0.244
0.280	0.144	0.244	0.144	0.244
0.281	0.144	0.244	0.144	0.244
0.282	0.144	0.244	0.144	0.244
0.283	0.144	0.244	0.144	0.244
0.284	0.144	0.244	0.144	0.244
0.285	0.142	0.244	0.142	0.244
0.286	0.142	0.244	0.142	0.244
0.287	0.142	0.244	0.142	0.244
0.288	0.142	0.244	0.142	0.244
0.289	0.142	0.244	0.142	0.244
0.290	0.140	0.244	0.140	0.244
0.291	0.140	0.244	0.140	0.244
0.292	0.140	0.244	0.140	0.244
0.293	0.140	0.244	0.140	0.244
0.294	0.140	0.244	0.140	0.244
0.295	0.139	0.244	0.139	0.244
0.296	0.139	0.244	0.139	0.244
0.297	0.139	0.244	0.139	0.244
0.298	0.139	0.244	0.139	0.244
0.299	0.139	0.244	0.139	0.244
0.300	0.137	0.245	0.137	0.245
0.301	0.137	0.245	0.137	0.245
0.302	0.137	0.245	0.137	0.245
0.303	0.137	0.245	0.137	0.245
0.304	0.137	0.245	0.137	0.245
0.305	0.135	0.245	0.135	0.245
0.306	0.135	0.245	0.135	0.245
0.307	0.135	0.245	0.135	0.245
0.308	0.135	0.245	0.135	0.245
0.309	0.135	0.245	0.135	0.245
0.310	0.134	0.246	0.134	0.246
0.311	0.134	0.246	0.134	0.246
0.312	0.134	0.246	0.134	0.246
0.313	0.134	0.246	0.134	0.246
0.314	0.134	0.246	0.134	0.246
0.315	0.133	0.246	0.133	0.246
0.316	0.133	0.246	0.133	0.246
0.317	0.133	0.246	0.133	0.246
0.318	0.133	0.246	0.133	0.246
0.319	0.133	0.246	0.133	0.246
0.320	0.130	0.246	0.130	0.246
0.321	0.130	0.246	0.130	0.246
0.322	0.130	0.246	0.130	0.246
0.323	0.130	0.246	0.130	0.246
0.324	0.130	0.246	0.130	0.246
0.325	0.128	0.246	0.128	0.246
0.326	0.128	0.246	0.128	0.246
0.327	0.128	0.246	0.128	0.246
0.328	0.128	0.246	0.128	0.246
0.329	0.128	0.246	0.128	0.246
0.330	0.127	0.247	0.127	0.247
0.331	0.127	0.247	0.127	0.247
0.332	0.127	0.247	0.127	0.247
0.333	0.127	0.247	0.127	0.247
0.334	0.127	0.247	0.127	0.247
0.335	0.125	0.248	0.125	0.248
0.336	0.125	0.248	0.125	0.248
0.337	0.125	0.248	0.125	0.248
0.338	0.125	0.248	0.125	0.248
0.339	0.125	0.248	0.125	0.248
0.340	0.124	0.249	0.124	0.249
0.341	0.124	0.249	0.124	0.249
0.342	0.124	0.249	0.124	0.249
0.343	0.124	0.249	0.124	0.249
0.344	0.124	0.249	0.124	0.249
0.345	0.122	0.249	0.122	0.249
0.346	0.122	0.249	0.122	0.249
0.347	0.122	0.249	0.122	0.249
0.348	0.122	0.249	0.122	0.249
0.349	0.122	0.249	0.122	0.249
0.350	0.121	0.250	0.121	0.250
0.351	0.121	0.250	0.121	0.250
0.352	0.121	0.250	0.121	0.250
0.353	0.121	0.250	0.121	0.250
0.354	0.121	0.250	0.121	0.250
0.355	0.120	0.250	0.120	0.250
0.356	0.120	0.250	0.120	0.250
0.357	0.120	0.250	0.120	0.250
0.358	0.120	0.250	0.120	0.250
0.359	0.120	0.250	0.120	0.250
0.360	0.118	0.250	0.118	0.250
0.361	0.118	0.250	0.118	0.250
0.362	0.118	0.250	0.118	0.250
0.363	0.118	0.250	0.118	0.250
0.364	0.118	0.250	0.118	0.250
0.365	0.117	0.250	0.117	0.250
0.366	0.117	0.250	0.117	0.250
0.367	0.117	0.250	0.117	0.250
0.368	0.117	0.250	0.117	0.250
0.369	0.117	0.250	0.117	0.250
0.370	0.116	0.251	0.116	0.251
0.371	0.116	0.251	0.116	0.251
0.372	0.116	0.251	0.116	0.251
0.373	0.116	0.251	0.116	0.251
0.374	0.116	0.251	0.116	0.251
0.375	0.115	0.252	0.115	0.252
0.376	0.115	0.252	0.115	0.252
0.377	0.115	0.252	0.115	0.252
0.378	0.115	0.252	0.115	0.252
0.379	0.115	0.252	0.115	0.252
0.380	0.114	0.252	0.114	0.252
0.381	0.114	0.252	0.114	0.252
0.382	0.114	0.252	0.114	0.252
0.383	0.114	0.252	0.114	0.252
0.384	0.114	0.252	0.114	0.252
0.385	0.114	0.253	0.114	0.253
0.386	0.114	0.253	0.114	0.253
0.387	0.114	0.253	0.114	0.253
0.388	0.114	0.253	0.114	0.253
0.389	0.114	0.253	0.114	0.253
0.390	0.112	0.253	0.112	0.253
0.391	0.112	0.253	0.112	0.253
0.392	0.112	0.253	0.112	0.253
0.393	0.112	0.253	0.112	0.253
0.394	0.112	0.253	0.112	0.253
0.395	0.111	0.254	0.111	0.254
0.396	0.111	0.254	0.111	0.254
0.397	0.111	0.254	0.111	0.254
0.398	0.111	0.254	0.111	0.254
0.399	0.111	0.254	0.111	0.254
0.400	0.110	0.254	0.110	0.254
0.401	0.110	0.254	0.110	0.254
0.402	0.110	0.254	0.110	0.254
0.403	0.110	0.254	0.110	0.254
0.404	0.110	0.254	0.110	0.254
0.405	0.108	0.254	0.108	0.254
0.406	0.108	0.254	0.108	0.254
0.407	0.108	0.254	0.108	0.254
0.408	0.108	0.254	0.108	0.254
0.409	0.108	0.254	0.108	0.254
